difficulty,image,romanized,,audio_recording,translation_hanzi,topic,pronunciation_hanzi,explanation,id,created_date,updated_date,created_by_id,created_by,is_sample
beginner,,ata,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%90%D7%AA%D7%94.m4a,אתה,你 （对男生）,daily,阿塔,,6a3ea657eba303645aaa3d74,2026-06-28 12:11:24,2026-06-28 12:11:24,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,atem,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%90%D7%AA%D7%9D.m4a,אתם,你们,daily,阿特姆,,6a3ea657eba303645aaa3d75,2026-06-28 12:11:24,2026-06-28 12:11:24,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,avoda,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%A2%D7%91%D7%95%D7%93%D7%94.m4a,עבודה,工作,work,阿波达,,6a3ea657eba303645aaa3d85,2026-06-28 15:24:00,2026-06-28 15:24:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,ayef,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%A2%D7%99%D7%99%D7%A3.m4a,עייף,累 （男的）,daily,阿耶夫,,6a3ea657eba303645aaa3d7b,2026-06-28 12:11:24,2026-06-28 12:11:24,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,ayefa,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%A2%D7%99%D7%99%D7%A4%D7%94.m4a,עייפה,累（女的）,daily,阿耶法,,6a3ea657eba303645aaa3d7c,2026-06-28 12:11:24,2026-06-28 12:11:24,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,banana,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%91%D7%A0%D7%A0%D7%94.m4a,בננה,香蕉,food,巴拿拿,,6a3ea657eba303645aaa3db8,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,baruh aba,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%91%D7%A8%D7%95%D7%9A%20%D7%94%D7%91%D7%90.m4a,ברוך הבא,欢迎,greetings,巴鲁赫 啊巴,,6a3ea657eba303645aaa3d83,2026-06-28 12:11:24,2026-06-28 12:11:24,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,basa,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%91%D7%90%D7%A1%D7%94.m4a,באסה,真糟糕 / 扫兴,slang,巴萨,"表示失望或扫兴。例如：错过了公交车，可以说 ""eize ba'asa"" (真扫兴/太糟糕了)。",6a3ea657eba303645aaa3d8c,2026-06-28 15:24:00,2026-06-28 15:24:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,basar,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%91%D7%A9%D7%A8.m4a,בשר,肉,food,巴萨尔,,6a3ea657eba303645aaa3db3,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,batzal,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%91%D7%A6%D7%9C.m4a,בצל,洋葱,food,巴察尔,,6a3ea657eba303645aaa3dbc,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,bayit,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%91%D7%99%D7%AA.m4a,בית,家 / 房子,daily,巴伊特,,6a3ea657eba303645aaa3da0,2026-06-28 15:28:43,2026-06-28 15:28:43,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,beitsa,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%91%D7%99%D7%A6%D7%94.m4a,ביצה,鸡蛋,food,贝察,,6a3ea657eba303645aaa3db6,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,Bete a von,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%91%D7%AA%D7%90%D7%91%D7%95%D7%9F.m4a,בתאבון,祝你胃口好,daily,被忒阿否呢,如果你跟别人一起吃饭，或者看别人吃饭， 一定要对他们说 bete avon,6a3ea3382c1054799d7dbf8b,2026-06-26 16:05:12,2026-06-26 16:05:12,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,bitu’ah,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%91%D7%99%D7%98%D7%95%D7%97.m4a,ביטוח,保险,work,比图阿赫,,6a3ea657eba303645aaa3da6,2026-06-28 15:28:43,2026-06-28 15:28:43,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,boker tov,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%91%D7%95%D7%A7%D7%A8%20%D7%98%D7%95%D7%91.m4a,בוקר טוב,早上好,greetings,波克 托夫,,6a3ea657eba303645aaa3d93,2026-06-28 15:24:00,2026-06-28 15:24:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,hamesh,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%97%D7%9E%D7%A9.m4a,חמש,五,numbers,哈梅什,,,2026-06-28 15:38:07,2026-06-28 15:38:07,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,dag,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%93%D7%92.m4a,דג,鱼,food,达格,,6a3ea657eba303645aaa3db5,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,dai,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%93%D7%99.m4a,די,够了,daily,带,,6a3ea3e564a9e1e30880ad7e,2026-06-26 16:08:06,2026-06-26 16:08:06,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,dira,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%93%D7%99%D7%A8%D7%94.m4a,דירה,公寓,daily,迪拉,,6a3ea657eba303645aaa3da1,2026-06-28 15:28:43,2026-06-28 15:28:43,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,efes,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%90%D7%A4%D7%A1.m4a,אפס,零,numbers,埃菲斯,,,2026-06-28 15:38:07,2026-06-28 15:38:07,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,ehad,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%90%D7%97%D7%93.m4a,אחת,一,numbers,欸哈德,,,2026-06-28 15:38:07,2026-06-28 15:38:07,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,eize,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%90%D7%99%D7%96%D7%94.m4a,איזה,哪个 / 真... (感叹),daily,埃泽,例如：ezeh yofi (真漂亮/太好了)，ezeh ba'asa (真扫兴),6a3ea657eba303645aaa3db0,2026-06-28 15:28:43,2026-06-28 15:28:43,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,erev tov,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%A2%D7%A8%D7%91%20%D7%98%D7%95%D7%91.m4a,ערב טוב,晚上好,greetings,欸类v 托v,这个我不知道好用汉字可以怎么写，因为有很多中文里不存在的声音,6a3ea62731e0fb2fb3278f19,2026-06-26 16:17:44,2026-06-26 16:17:44,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,eser,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%A2%D7%A9%D7%A8.m4a,עשר,十,numbers,埃塞,在以色列，不像在中国可以用单手比划数字（比如6到10），在这里比划大于5的数字需要用双手。,,2026-06-28 15:38:07,2026-06-28 15:38:07,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,gam,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%92%D7%9D.m4a,גם,也,daily,嘎m,,6a3ea657eba303645aaa3d7e,2026-06-28 12:11:24,2026-06-28 12:11:24,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,gam ani,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%92%D7%9D%20%D7%90%D7%A0%D7%99.m4a,גם אני,我也,daily,嘎m 阿尼,,6a3ea657eba303645aaa3d7f,2026-06-28 12:11:24,2026-06-28 12:11:24,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,gezer,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%92%D7%96%D7%A8.m4a,גזר,胡萝卜,food,盖泽尔,,6a3ea657eba303645aaa3dbb,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,glida,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%92%D7%9C%D7%99%D7%93%D7%94.m4a,גלידה,冰淇淋,food,格丽达,,6a3ea657eba303645aaa3dc8,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,hag same‘ah,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%97%D7%92%20%D7%A9%D7%9E%D7%97.m4a,חג שמח,节日快乐,greetings,哈格 萨梅阿赫,,6a3ea657eba303645aaa3d80,2026-06-28 12:11:24,2026-06-28 12:11:24,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,halas,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%97%D7%9C%D7%90%D7%A1.m4a,חלאס,够了,slang,哈拉斯,哈拉斯这个词稍微生硬一些,6a3ea4456422c7e7fb6df8fe,2026-06-26 16:09:41,2026-06-26 16:09:41,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,halav,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%97%D7%9C%D7%91.m4a,חלב,牛奶,food,哈拉夫,,6a3ea657eba303645aaa3db2,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,hashmal,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%97%D7%A9%D7%9E%D7%9C.m4a,חשמל,电,daily,哈什玛尔,,6a3ea657eba303645aaa3d9c,2026-06-28 15:28:43,2026-06-28 15:28:43,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,hofesh,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%97%D7%95%D7%A4%D7%A9.m4a,חופש,假期 / 休息,work,霍费什,,6a3ea657eba303645aaa3dab,2026-06-28 15:28:43,2026-06-28 15:28:43,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,hole,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%97%D7%95%D7%9C%D7%94.m4a,חולה,生病,health,霍列,,6a3ea657eba303645aaa3d8e,2026-06-28 15:24:00,2026-06-28 15:24:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,kafe,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%A7%D7%A4%D7%94.m4a,קפה,咖啡,food,卡费,,6a3ea657eba303645aaa3dc4,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,kama ze ole,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9B%D7%9E%D7%94%20%D7%96%D7%94%20%D7%A2%D7%95%D7%9C%D7%94.m4a,כמה זה עולה,这个多少钱,shopping,卡玛 泽 奥列,,6a3ea657eba303645aaa3d95,2026-06-28 15:24:00,2026-06-28 15:24:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,kanyon,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%A7%D7%A0%D7%99%D7%95%D7%9F.m4a,קניון,购物中心,daily,坎永,,6a3ea657eba303645aaa3d91,2026-06-28 15:24:00,2026-06-28 15:24:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,ken,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9B%D7%9F.m4a,כן,是,greetings,肯,,6a3d76bf9ab921c25ea16542,2026-06-25 18:43:12,2026-06-25 20:26:36,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,kesef,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9B%D7%A1%D7%A3.m4a,כסף,钱,daily,克塞夫,,6a3ea657eba303645aaa3d86,2026-06-28 15:24:00,2026-06-28 15:24:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,kupa,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%A7%D7%95%D7%A4%D7%94.m4a,קופה,收银台,shopping,库帕,,6a3ea657eba303645aaa3da4,2026-06-28 15:28:43,2026-06-28 15:28:43,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
intermediate,,la’anot,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%A2%D7%A0%D7%95%D7%AA.m4a,לענות,回答,verbs,拉阿诺特,,6a3ea657eba303645aaa3dd6,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,la‘avod,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%A2%D7%91%D7%95%D7%93.m4a,לעבוד,工作,verbs,拉阿沃德,,6a3ea657eba303645aaa3dcc,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
intermediate,,lada’at,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%93%D7%A2%D7%AA.m4a,לדעת,知道,verbs,拉达阿特,,6a3ea657eba303645aaa3dd8,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
intermediate,,lahshov,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%97%D7%A9%D7%95%D7%91.m4a,לחשוב,想,verbs,拉赫绍夫,,6a3ea657eba303645aaa3dd7,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,lakum,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%A7%D7%95%D7%9D.m4a,לקום,起床,verbs,拉库姆,,6a3ea657eba303645aaa3dcd,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,lalehet,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%9C%D7%9B%D7%AA.m4a,ללכת,走 / 去,verbs,拉列赫特,,6a3ea657eba303645aaa3dcb,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,layla tov,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%99%D7%9C%D7%94%20%D7%98%D7%95%D7%91.m4a,לילה טוב,晚安,greetings,来啦 托 v,英语的 ‘v’ ,6a3ea5aa17b190bd7f48b6ef,2026-06-26 16:15:38,2026-06-26 16:15:38,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,le’ehol,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%90%D7%9B%D7%95%D7%9C.m4a,לאכול,吃,verbs,莱埃霍尔,,6a3ea657eba303645aaa3dc9,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
intermediate,,le‘agiya,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%94%D7%92%D7%99%D7%A2.m4a,להגיע,到达,verbs,莱哈吉亚,,6a3ea657eba303645aaa3dd9,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
intermediate,,le‘amshih,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%94%D7%9E%D7%A9%D7%99%D7%9A.m4a,להמשיך,继续,verbs,莱哈姆希赫,,6a3ea657eba303645aaa3dd3,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
intermediate,,le’argish,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%94%D7%A8%D7%92%D7%99%D7%A9.m4a,להרגיש,感觉,verbs,莱哈尔吉什,,6a3ea657eba303645aaa3dd1,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
intermediate,,le‘athil,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%94%D7%AA%D7%97%D7%99%D7%9C.m4a,להתחיל,开始,verbs,莱哈特希尔,,6a3ea657eba303645aaa3dd2,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
intermediate,,le’avin,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%94%D7%91%D7%99%D7%9F.m4a,להבין,明白 / 理解,verbs,莱哈文,,6a3ea657eba303645aaa3dd0,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
intermediate,,le‘azmin,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%94%D7%96%D7%9E%D7%99%D7%9F.m4a,להזמין,点菜 / 邀请,verbs,莱哈兹明,,6a3ea657eba303645aaa3dd4,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,lehem,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%97%D7%9D.m4a,לחם,面包,food,列赫姆,,6a3ea657eba303645aaa3db1,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,liknot,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%A7%D7%A0%D7%95%D7%AA.m4a,לקנות,买,verbs,利克诺特,,6a3ea657eba303645aaa3dce,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,lir’ot,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%A8%D7%90%D7%95%D7%AA.m4a,לראות,看,verbs,利尔奥特,,6a3ea657eba303645aaa3dcf,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
intermediate,,lishol,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%A9%D7%90%D7%95%D7%9C.m4a,לשאול,问,verbs,利什奥尔,,6a3ea657eba303645aaa3dd5,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,lishon,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%99%D7%A9%D7%95%D7%9F.m4a,לישון,睡觉,daily,丽顺,,6a3ea657eba303645aaa3d78,2026-06-28 12:11:24,2026-06-28 12:11:24,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,lishtot,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%A9%D7%AA%D7%95%D7%AA.m4a,לשתות,喝,verbs,利什托特,,6a3ea657eba303645aaa3dca,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,lo,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9C%D7%90.m4a,לא,不,greetings,咯 （lo),,6a3d76bf9ab921c25ea16543,2026-06-25 18:43:12,2026-06-25 20:29:20,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,ma asha‘a,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9E%D7%94%20%D7%94%D7%A9%D7%A2%D7%94.m4a,מה השעה,几点了,daily,玛 哈沙阿,,6a3ea657eba303645aaa3d92,2026-06-28 15:24:00,2026-06-28 15:24:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,ma’asik,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9E%D7%A2%D7%A1%D7%99%D7%A7.m4a,מעסיק,雇主,work,玛阿西克,,6a3ea657eba303645aaa3da9,2026-06-28 15:28:43,2026-06-28 15:28:43,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,ma itha,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9E%D7%94%20%D7%90%D7%99%D7%AA%D7%9A.m4a,מה איתך,你呢,greetings,玛 伊特哈,,6a3ea657eba303645aaa3d81,2026-06-28 12:11:24,2026-06-28 12:11:24,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,ma kore,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9E%D7%94%20%D7%A7%D7%95%D7%A8%D7%94.m4a,מה קורה,怎么了 / 最近怎样,greetings,玛 科雷,,6a3ea657eba303645aaa3d94,2026-06-28 15:24:00,2026-06-28 15:24:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,ma nishma,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9E%D7%94%20%D7%A0%D7%A9%D7%9E%D7%A2.m4a,מה נשמע,你好吗 / 最近怎么样,greetings,玛 尼什玛,,6a3ea657eba303645aaa3d89,2026-06-28 15:24:00,2026-06-28 15:24:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,mahala,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9E%D7%97%D7%9C%D7%94.m4a,מחלה,疾病 / 病假,health,玛哈拉,,6a3ea657eba303645aaa3dac,2026-06-28 15:28:43,2026-06-28 15:28:43,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,makolet,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9E%D7%9B%D7%95%D7%9C%D7%AA.m4a,מכולת,杂货店,shopping,玛科列特,,6a3ea657eba303645aaa3da2,2026-06-28 15:28:43,2026-06-28 15:28:43,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,marak,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9E%D7%A8%D7%A7.m4a,מרק,汤,food,玛拉克,,6a3ea657eba303645aaa3dbf,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,maskoret,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%9E%D7%A9%D7%9B%D7%95%D7%A8%D7%AA.m4a,משכורת,工资,work,玛斯柯列特,,6a3ea657eba303645aaa3daa,2026-06-28 15:28:43,2026-06-28 15:28:43,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
